========================================
  BAI 3: ANH HUONG GIA TOC TRONG TRUONG
========================================
Quy tac: Ax = sin(pitch), Az = cos(pitch), Ay ~ 0 khi chi nghieng theo X

Bang ly thuyet (nghieng theo truc X - Pitch):
 Goc |  Ax(g) |  Ay(g) |  Az(g) | |a|(g)
-----|--------|--------|--------|-------
  0  | 0.000  | 0.000  | 1.000  | 1.000
  15  | 0.259  | 0.000  | 0.966  | 1.000
  30  | 0.500  | 0.000  | 0.866  | 1.000
  45  | 0.707  | 0.000  | 0.707  | 1.000
  60  | 0.866  | 0.000  | 0.500  | 1.000
  90  | 1.000  | 0.000  | 0.000  | 1.000

--- DO THUC TE ---
Goc | Ax_do | Ay_do | Az_do | |a| | Sai lech%

Dat cam bien nghieng 0 do (theo truc X), nhan phim:
angle_deg,ax,ay,az
15.0,0.2558,0.0028,0.9672
15.0,0.2619,-0.0024,0.9647
15.0,0.2606,-0.0030,0.9693
15.0,0.2632,-0.0002,0.9649
15.0,0.2612,-0.0056,0.9641
15.0,0.2586,-0.0025,0.9640
15.0,0.2660,0.0024,0.9631
15.0,0.2623,0.0047,0.9676
15.0,0.2608,-0.0014,0.9669
15.0,0.2618,0.0032,0.9667
15.0,0.2637,-0.0011,0.9688
15.0,0.2612,0.0067,0.9627
15.0,0.2658,0.0011,0.9628
15.0,0.2591,-0.0005,0.9661
15.0,0.2622,-0.0012,0.9647
15.0,0.2670,0.0057,0.9661
15.0,0.2607,0.0009,0.9666
15.0,0.2575,-0.0003,0.9598
15.0,0.2618,0.0024,0.9634
15.0,0.2653,-0.0032,0.9604
15.0,0.2613,0.0036,0.9699
15.0,0.2592,0.0037,0.9647
15.0,0.2601,0.0032,0.9668
15.0,0.2559,0.0049,0.9689
15.0,0.2587,0.0017,0.9663
15.0,0.2614,-0.0012,0.9628
15.0,0.2605,0.0040,0.9664
15.0,0.2595,0.0028,0.9563
15.0,0.2640,-0.0047,0.9637
15.0,0.2572,-0.0034,0.9683
15.0,0.2592,0.0015,0.9647
15.0,0.2620,0.0007,0.9610
15.0,0.2636,-0.0010,0.9601
15.0,0.2593,0.0050,0.9674
15.0,0.2596,-0.0005,0.9638
15.0,0.2668,0.0016,0.9661
15.0,0.2637,0.0012,0.9640
15.0,0.2600,0.0003,0.9647
15.0,0.2628,0.0007,0.9670
15.0,0.2604,0.0007,0.9588
15.0,0.2633,0.0015,0.9678
15.0,0.2519,0.0068,0.9644
15.0,0.2639,-0.0026,0.9666
15.0,0.2574,-0.0014,0.9705
15.0,0.2600,0.0012,0.9674
15.0,0.2621,0.0010,0.9659
15.0,0.2678,0.0003,0.9654
15.0,0.2638,0.0038,0.9684
15.0,0.2625,-0.0029,0.9697
15.0,0.2572,0.0014,0.9625
15.0,0.2604,0.0015,0.9658
15.0,0.2619,0.0053,0.9662
15.0,0.2599,0.0034,0.9684
15.0,0.2569,0.0023,0.9669
15.0,0.2597,0.0046,0.9643
15.0,0.2610,-0.0000,0.9648
15.0,0.2573,-0.0038,0.9696
15.0,0.2581,-0.0025,0.9583
15.0,0.2587,-0.0035,0.9697
15.0,0.2636,-0.0016,0.9716
15.0,0.2635,-0.0005,0.9573
15.0,0.2675,-0.0037,0.9599
15.0,0.2637,0.0078,0.9690
15.0,0.2623,0.0023,0.9674
15.0,0.2629,0.0013,0.9651
15.0,0.2604,-0.0018,0.9640
15.0,0.2555,0.0002,0.9618
15.0,0.2573,0.0010,0.9690
15.0,0.2634,-0.0042,0.9618
15.0,0.2634,-0.0024,0.9641
15.0,0.2623,-0.0024,0.9651
15.0,0.2566,-0.0013,0.9658
15.0,0.2558,0.0018,0.9647
15.0,0.2623,0.0012,0.9689
  15  | 0.261  | 0.001  | 0.965  | 0.9998  | 0.02%
  [OK]

Dat cam bien nghieng 30 do (theo truc X), nhan phim:
angle_deg,ax,ay,az
30.0,0.4995,-0.0001,0.8672
30.0,0.5007,0.0013,0.8669
30.0,0.4970,-0.0008,0.8626
30.0,0.5043,-0.0025,0.8647
30.0,0.4969,0.0039,0.8659
30.0,0.5028,-0.0008,0.8676
30.0,0.4966,0.0076,0.8632
30.0,0.5000,0.0031,0.8680
30.0,0.4985,0.0008,0.8669
30.0,0.4987,0.0041,0.8734
30.0,0.4974,-0.0029,0.8665
30.0,0.5068,-0.0012,0.8717
30.0,0.5041,-0.0005,0.8685
30.0,0.5040,0.0001,0.8662
30.0,0.4974,-0.0018,0.8649
30.0,0.4954,0.0013,0.8645
30.0,0.4998,-0.0035,0.8678
30.0,0.5016,-0.0048,0.8679
30.0,0.5028,-0.0024,0.8718
30.0,0.5004,-0.0009,0.8666
30.0,0.5008,0.0014,0.8684
30.0,0.4963,0.0017,0.8626
30.0,0.4988,-0.0015,0.8646
30.0,0.5028,0.0045,0.8686
30.0,0.4958,0.0003,0.8704
30.0,0.4995,0.0082,0.8680
30.0,0.4997,0.0003,0.8672
30.0,0.4986,0.0033,0.8697
30.0,0.4967,-0.0028,0.8613
30.0,0.5006,-0.0021,0.8603
30.0,0.5003,0.0087,0.8668
30.0,0.5016,0.0014,0.8665
30.0,0.5019,0.0003,0.8676
30.0,0.5001,-0.0008,0.8698
30.0,0.4986,-0.0011,0.8684
30.0,0.4964,0.0013,0.8668
30.0,0.5024,0.0026,0.8667
30.0,0.5016,0.0054,0.8685
30.0,0.4991,-0.0027,0.8636
30.0,0.4982,-0.0006,0.8662
30.0,0.4993,0.0028,0.8666
30.0,0.5006,0.0014,0.8609
30.0,0.4963,0.0008,0.8632
30.0,0.5009,0.0058,0.8705
30.0,0.4985,0.0057,0.8672
30.0,0.4981,-0.0006,0.8659
30.0,0.4979,0.0017,0.8673
30.0,0.4991,0.0025,0.8704
30.0,0.5019,-0.0033,0.8591
30.0,0.5019,-0.0029,0.8661
30.0,0.4956,-0.0042,0.8684
30.0,0.5014,-0.0005,0.8590
30.0,0.4975,0.0024,0.8624
30.0,0.4997,0.0012,0.8685
30.0,0.4995,-0.0017,0.8704
30.0,0.4986,0.0011,0.8640
30.0,0.4978,-0.0015,0.8663
30.0,0.5042,-0.0029,0.8620
30.0,0.5035,0.0006,0.8648
30.0,0.5022,-0.0006,0.8723
30.0,0.5011,-0.0003,0.8733
30.0,0.4973,0.0034,0.8677
30.0,0.5030,0.0059,0.8669
30.0,0.4968,0.0026,0.8648
30.0,0.5051,0.0016,0.8657
30.0,0.4997,-0.0028,0.8639
30.0,0.5027,-0.0008,0.8637
30.0,0.5007,0.0048,0.8690
30.0,0.5021,-0.0011,0.8625
30.0,0.5036,0.0002,0.8660
30.0,0.5031,0.0029,0.8682
30.0,0.5056,-0.0007,0.8696
30.0,0.4993,0.0020,0.8714
30.0,0.5006,0.0028,0.8700
30.0,0.4980,-0.0013,0.8637
30.0,0.4932,0.0074,0.8635
30.0,0.4984,0.0004,0.8677
30.0,0.5015,0.0038,0.8651
30.0,0.4986,0.0020,0.8661
30.0,0.5039,0.0027,0.8690
30.0,0.5011,0.0047,0.8673
30.0,0.4952,0.0024,0.8648
30.0,0.4975,0.0030,0.8705
30.0,0.4992,0.0021,0.8719
30.0,0.4998,0.0090,0.8685
30.0,0.4938,0.0035,0.8679
30.0,0.5030,0.0032,0.8664
30.0,0.4954,0.0006,0.8642
30.0,0.4974,0.0030,0.8718
30.0,0.5003,-0.0024,0.8681
30.0,0.5027,-0.0006,0.8664
30.0,0.4991,-0.0012,0.8687
30.0,0.4987,0.0025,0.8641
30.0,0.4978,0.0034,0.8657
30.0,0.5043,0.0000,0.8675
30.0,0.5019,-0.0031,0.8615
30.0,0.4945,0.0050,0.8651
30.0,0.5068,-0.0005,0.8674
30.0,0.5037,0.0072,0.8730
30.0,0.5027,0.0043,0.8686
30.0,0.5014,-0.0005,0.8643
30.0,0.4991,0.0007,0.8654
30.0,0.5012,0.0041,0.8671
30.0,0.5035,-0.0022,0.8662
30.0,0.4969,-0.0044,0.8666
30.0,0.4987,0.0057,0.8687
30.0,0.4960,0.0068,0.8705
30.0,0.5008,0.0005,0.8639
30.0,0.4980,0.0045,0.8725
30.0,0.5037,-0.0003,0.8634
30.0,0.4995,-0.0041,0.8678
30.0,0.4987,-0.0002,0.8620
30.0,0.5006,-0.0004,0.8633
30.0,0.4905,0.0011,0.8721
30.0,0.5041,-0.0002,0.8650
30.0,0.5005,-0.0018,0.8677
30.0,0.5014,0.0049,0.8665
30.0,0.4985,-0.0014,0.8643
30.0,0.4984,0.0023,0.8695
30.0,0.4967,0.0057,0.8660
30.0,0.4990,-0.0010,0.8595
30.0,0.5018,0.0034,0.8660
30.0,0.4993,0.0027,0.8621
30.0,0.4975,0.0036,0.8630
30.0,0.5000,-0.0029,0.8682
30.0,0.4990,-0.0036,0.8703
30.0,0.4969,-0.0012,0.8674
30.0,0.5025,-0.0018,0.8670
30.0,0.5004,0.0033,0.8673
30.0,0.4980,-0.0013,0.8671
30.0,0.4959,-0.0076,0.8681
30.0,0.5018,-0.0059,0.8638
30.0,0.5010,0.0074,0.8669
30.0,0.4969,0.0007,0.8709
30.0,0.4972,-0.0012,0.8654
30.0,0.4962,0.0016,0.8717
30.0,0.5001,0.0004,0.8659
30.0,0.4944,0.0038,0.8666
30.0,0.4986,0.0108,0.8677
30.0,0.4968,-0.0001,0.8702
30.0,0.4994,-0.0031,0.8696
30.0,0.4971,0.0068,0.8700
30.0,0.4978,0.0050,0.8670
30.0,0.5017,0.0027,0.8643
30.0,0.4972,0.0043,0.8658
30.0,0.4979,-0.0017,0.8681
30.0,0.5053,-0.0020,0.8669
30.0,0.5033,0.0010,0.8682
30.0,0.4959,0.0025,0.8662
30.0,0.5021,0.0048,0.8746
30.0,0.5008,0.0022,0.8674
30.0,0.4980,0.0022,0.8659
30.0,0.4996,0.0052,0.8638
30.0,0.5025,0.0052,0.8664
30.0,0.4927,-0.0006,0.8707
30.0,0.4990,-0.0018,0.8653
30.0,0.5016,0.0028,0.8661
30.0,0.4980,0.0000,0.8640
30.0,0.5039,0.0002,0.8705
30.0,0.5037,0.0042,0.8655
30.0,0.5003,0.0011,0.8641
30.0,0.5001,-0.0023,0.8704
30.0,0.4977,0.0018,0.8676
30.0,0.4983,0.0030,0.8654
30.0,0.5017,-0.0028,0.8672
30.0,0.5049,-0.0018,0.8648
30.0,0.5006,0.0017,0.8679
30.0,0.5006,0.0031,0.8701
30.0,0.5003,0.0005,0.8688
30.0,0.5048,0.0008,0.8639
30.0,0.5024,0.0008,0.8603
30.0,0.5016,-0.0004,0.8665
30.0,0.5001,0.0018,0.8689
30.0,0.4978,0.0027,0.8660
30.0,0.5013,0.0030,0.8640
30.0,0.5024,-0.0004,0.8692
30.0,0.5002,0.0067,0.8661
30.0,0.4981,0.0011,0.8659
30.0,0.5015,-0.0036,0.8636
30.0,0.4959,0.0041,0.8719
30.0,0.4988,0.0007,0.8670
30.0,0.5026,-0.0016,0.8675
30.0,0.5020,0.0027,0.8674
30.0,0.5021,-0.0069,0.8688
30.0,0.4971,-0.0043,0.8683
30.0,0.5032,0.0008,0.8697
30.0,0.5039,0.0051,0.8717
30.0,0.5013,0.0014,0.8620
30.0,0.4984,-0.0013,0.8733
30.0,0.4986,0.0016,0.8685
30.0,0.4992,0.0063,0.8649
30.0,0.4997,-0.0010,0.8628
30.0,0.4973,0.0011,0.8655
30.0,0.4970,-0.0030,0.8666
30.0,0.4946,0.0035,0.8670
30.0,0.4947,0.0003,0.8645
30.0,0.5001,0.0052,0.8612
30.0,0.4994,0.0007,0.8688
30.0,0.4997,-0.0011,0.8658
30.0,0.4967,0.0044,0.8669
  30  | 0.500  | 0.001  | 0.867  | 1.0006  | 0.06%
  [OK]

Dat cam bien nghieng 45 do (theo truc X), nhan phim:
angle_deg,ax,ay,az
45.0,0.7143,-0.0009,0.7063
45.0,0.7041,-0.0061,0.7036
45.0,0.7094,0.0008,0.7037
45.0,0.7113,-0.0021,0.7088
45.0,0.7134,0.0020,0.7076
45.0,0.7059,-0.0072,0.7062
45.0,0.7080,-0.0037,0.7080
45.0,0.7088,-0.0014,0.7064
45.0,0.7091,0.0006,0.7051
45.0,0.7128,-0.0010,0.7085
45.0,0.7107,-0.0000,0.7113
45.0,0.7095,-0.0025,0.7095
45.0,0.7052,-0.0004,0.7083
45.0,0.7080,-0.0011,0.7028
45.0,0.7070,-0.0004,0.7089
45.0,0.7055,0.0031,0.7058
45.0,0.7115,0.0006,0.7065
45.0,0.7139,-0.0043,0.7112
45.0,0.7116,-0.0027,0.7126
45.0,0.7078,0.0002,0.7092
45.0,0.7082,0.0017,0.7108
45.0,0.7034,0.0032,0.7034
45.0,0.7117,0.0027,0.7051
45.0,0.7074,-0.0040,0.7078
45.0,0.7077,0.0016,0.7123
45.0,0.7128,-0.0024,0.7078
45.0,0.7035,-0.0031,0.7113
45.0,0.7134,-0.0044,0.7066
45.0,0.7085,0.0001,0.7060
45.0,0.7099,-0.0021,0.7084
45.0,0.7102,-0.0007,0.7071
45.0,0.7083,-0.0010,0.7073
45.0,0.7078,0.0041,0.7101
45.0,0.7077,0.0014,0.7074
45.0,0.7121,0.0004,0.7081
45.0,0.7099,-0.0054,0.7050
45.0,0.7050,-0.0003,0.7136
45.0,0.7153,0.0012,0.7099
